,ID,text,labels,target
98,118,MENTION لن يقضي التطعيم على كورونا  لأنه تطعيم فاشل وضعيف,0,Covid Vaccine
1425,1677,انشاء وزارة او هيئة التحول الالكتروني أصبحت ضرورية جدا تعمل على تنفيذ خطة مرسومة لتقديم الخدمات  الالكترونيه في كافة الجهات الحكومية والعمل على  مراقبة وتطوير وصنع التحول الالكتروني في كافة الخدمات المقدمة من تلك الجهات دون استثناء اي جهة حكومية من بند التحول الالكتروني,1,Digital Transformation
2938,3443, زمن تمكين المرأة 👍🏻,2,Women empowerment
3134,3677,ويسرنا دعوتكم لحضور ملتقى #سعوديات_تمكين_ورياده   للحديث عن انجازات وتمكن وريادة المرأة السعودية ومناقشة المستقبل الريادي للمرأة🧕💫 في جلسات حوارية مع مجموعة من الشخصيات النسائية المُلهمة✨  لحضور الملتقى عن بعد🔗  ,2,Women empowerment
371,439,البدء في تأهيل منسوبي جمعية العوامية الخيرية للخدمات الاجتماعية للعمل على #نظام_رافد_الإلكتروني ضمن مبادرة التحول الرقمي للجمعيات الأهلية في #القطيف #رقمنة_العمل_الخيري     URL,1,Digital Transformation
2904,3408, أسخف حاجة حصلت للحب التحول الإلكتروني ده ..مبقاش حب أصلا,1,Digital Transformation
3282,3860,أهم سبب للتطور التقني والرقمي الحاصل عندنا في #السعودية  هو الدعم الكبير من قبل سمو #ولي_العهد الامير محمد بن سلمان للتقنية  ولأن التحول الرقمي أحد أهم مستهدفات رؤية ٢٠٣٠. URL,1,Digital Transformation
88,106, منصة ثروه بدعم من وزارة   وهي احدى استثمارات    وبادارة عمانية تحمل مستقبلا واعدا بالسلطنة  التحول الالكتروني بجميع القطاعات يسهل الكثير من العمل والجهد والوقت.  ولا ننسى ان هذه المنصه كذلك ساهمت بتوفير بعض الوظائف لل,1,Digital Transformation
3409,4012,رحمه الله كان ملتزم بالضوابط الصحيه وحكر نفسه بالحظر والحجر داخل جحره ثم اخذ التطعيم فمات غفر الله له ...  #HumanRightsDay #كوفيد١٩ #كورونا #تطعيم_كورونا,0,Covid Vaccine
237,291, اخذو القاح وقبل لاتاخذونه عمل تحليل اجسام مضاده وسوو مسحه قبل اخذ لقاح وتوكلو على سبحانه #الكويت_تستحق_الأفضل #تطعيم_كورونا,0,Covid Vaccine
1582,1865," غالباً لا يتم الالتفات لحاجات مختلف شرائح المجتمع و مدى استعداد المتعاملين بمن فيهم شريحة كبار المواطنين للتحول الرقمي ...   أحياناً يكون التحول الرقمي بمثابة كابوس لبعض شرائح المجتمع .... ""بمنطق هذا هو الموجود و روح دبر عمرك""",1,Digital Transformation
1387,1635,MENTION سؤالك غلط ! نعم اللقاح يمنع بصورة كبيره وبنسبة كبيرة مضاعفات كورونا الخطيرة والوفاة بسببها . عطني كم حالة ماتت وهي متطعمه  ( وهذه حالات لها صروفها الخاصة وربما لم تأخذ احتياطياتها حتى يتم تكون الاجسام المضادة .. وقارنها بنسبة غير المتطعميم ! نعم تحتاج شهادة تطعيم وسؤالك غلط !,0,Covid Vaccine
